NAME_HC,EASTING,LATITUDE
黃大仙地區康健中心 - 主中心,838618.1776,22.33988696
屯門地區康健中心 - 附屬中心 - 屯門東南,815429.7,22.38705703
元朗地區康健中心 - 附屬中心 - 新北江商場,818112.3253,22.45225711
荃灣地區康健中心 - 附屬中心 - 荃灣東,830830.4795,22.37474646
南區地區康健中心 - 附屬中心 - 健康存取庫,833498.2631,22.24490106
南區地區康健中心 - 附屬中心 - 南區北,834328.62,22.24756084
南區地區康健中心 - 附屬中心 - 南區西,832241.5309,22.2586583
南區地區康健中心 - 附屬中心 - 南區南,834103.7877,22.24130223
南區地區康健中心 - 附屬中心 - 南區東,839925.0944,22.21825893
荃灣地區康健中心 - 附屬中心 - 荃灣北,829577.1331,22.37356543
荃灣地區康健中心 - 附屬中心 - 荃灣西,824382.5503,22.36723731
荃灣地區康健中心 - 附屬中心 - 荃灣南,830265.8128,22.37166839
元朗地區康健中心 - 附屬中心 - 大棠路,820989.7614,22.44331997
元朗地區康健中心 - 附屬中心 - 元朗大會堂,820315.8615,22.44366434
黃大仙地區康健中心 - 附屬中心 - 黃大仙西南,837305.1854,22.33907144
黃大仙地區康健中心 - 附屬中心 - 黃大仙東,840179.9343,22.33397656
黃大仙地區康健中心 - 附屬中心 - 黃大仙北,838794.5902,22.34713002
黃大仙地區康健中心 - 附屬中心 - 黃大仙中,837787.6941,22.3421045
荃灣地區康健中心 - 主中心,829974.7773,22.36737932
葵青地區康健中心 - 附屬中心 - 葵涌東北,832595.0521,22.36842045
葵青地區康健中心 - 附屬中心 - 葵涌中南,831054.6668,22.34630361
葵青地區康健中心 - 附屬中心 - 青衣東北,828116.32,22.35454036
葵青地區康健中心 - 附屬中心 - 葵涌西,830864.7686,22.36811119
深水埗地區康健中心 - 附屬中心 - 深水埗中南,834590.4766,22.33382651
深水埗地區康健中心 - 附屬中心 - 深水埗東,835110.6067,22.32912986
屯門地區康健中心 - 附屬中心 - 屯門西北,814729.1468,22.40858235
屯門地區康健中心 - 附屬中心 - 屯門西南,814033.0961,22.37488917
深水埗地區康健中心 - 附屬中心 - 深水埗西,832659.5459,22.33636892
葵青地區康健中心 - 附屬中心 - 青衣西南,829329.0567,22.3458122
屯門地區康健中心 - 附屬中心 - 屯門東北,815712.9192,22.39080771
屯門地區康健中心 - 附屬中心 - 大興及山景,814478.5204,22.39658728
葵青地區康健中心 - 主中心,831729.4625,22.36214934
深水埗地區康健中心 - 主中心,835287.9644,22.33181016
屯門地區康健中心 - 主中心,815686.0468,22.39761293
元朗地區康健中心 - 主中心,818407.0558,22.46470911
南區地區康健中心 - 主中心,835102.1565,22.24798829
