NAME_OP,Latitude,Longitude
柏立基夫人普通科門診診所,22.29137,114.205
柏立基普通科門診診所,22.33249,114.1956
北大嶼山社區健康中心,22.28257,113.9391
北葵涌普通科門診診所,22.36986,114.1403
北南丫普通科門診診所,22.22429,114.1111
貝夫人普通科門診診所,22.27531,114.1777
柴灣普通科門診診所,22.2653,114.2343
長沙灣賽馬會普通科門診診所,22.34047,114.1585
長洲醫院普通科門診診所,22.20822,114.0311
赤柱普通科門診診所,22.21773,114.2134
打鼓嶺普通科門診診所,22.5245,114.1606
大澳賽馬會普通科門診診所,22.25576,113.858
大埔賽馬會普通科門診診所,22.45402,114.1658
戴麟趾夫人普通科門診診所,22.37056,114.1155
東華東院普通科門診部,22.27473,114.1903
東華醫院普通科門診診所,22.28546,114.1468
東九龍普通科門診診所,22.33952,114.208
方逸華普通科門診診所,22.38176,114.2723
粉嶺家庭醫學中心,22.49632,114.1391
廣華醫院全科門診部,22.31547,114.1717
橫頭磡賽馬會普通科門診診所,22.33911,114.1854
紅磡診所,22.30814,114.1856
環翠普通科門診診所,22.2629,114.2395
堅尼地城賽馬會普通科門診診所,22.28185,114.124
將軍澳(寶寧路)普通科門診診所,22.31779,114.2679
將軍澳賽馬會普通科門診診所,22.32516,114.2595
錦田診所,22.44011,114.0747
李寶椿普通科門診診所,22.32863,114.2071
李基紀念醫局,22.33037,114.189
瀝源普通科門診診所,22.38378,114.1918
馬鞍山家庭醫學中心,22.42507,114.2349
梅窩普通科門診診所,22.26611,113.998
明愛醫院家庭醫學診所,22.34063,114.1523
南昌家庭醫學診所,22.33036,114.1542
南葵涌賽馬會普通科門診診所,22.36081,114.1254
南山普通科門診診所,22.33413,114.1707
坪洲普通科門診診所,22.28357,114.0392
青衣市區普通科門診診所,22.34892,114.1059
青衣市區普通科門診診所,22.35446,114.1059
仁愛普通科門診診所,22.39123,113.9791
仁濟醫院全科診所,22.36955,114.1196
容鳳書健康中心,22.44102,114.0271
沙田（大圍）普通科門診診所,22.37752,114.1841
沙頭角普通科門診診所,22.53601,114.2102
筲箕灣賽馬會普通科門診診所,22.27649,114.2283
聖母醫院家庭醫學診所,22.34559,114.1966
石湖墟賽馬會普通科門診診所,22.5053,114.1292
石硤尾普通科門診診所,22.33184,114.1674
順德聯誼會梁銶琚診所,22.31714,114.188
索罟灣普通科門診診所,22.2056,114.1316
天水圍(天業路)社區健康中心,22.46548,114.0058
天水圍健康中心,22.45455,114.0014
屯門湖康診所,22.37715,113.9671
屯門診所,22.39966,113.9757
王少清家庭醫學中心,22.45016,114.1681
伍若瑜夫人普通科門診診所,22.37616,114.1367
伍若瑜普通科門診診所,22.34692,114.1975
西九龍普通科門診診所,22.33186,114.1605
西灣河普通科門診診所,22.28459,114.2238
西營盤賽馬會普通科門診診所,22.28644,114.145
下葵涌普通科門診診所,22.35243,114.128
香港佛教醫院普通科門診診所,22.33568,114.1887
香港仔賽馬會普通科門診診所,22.24995,114.1563
鴨脷洲普通科門診診所,22.24324,114.1536
油麻地賽馬會普通科門診診所,22.30962,114.1693
元朗賽馬會健康院,22.4456,114.0232
圓洲角普通科門診診所,22.38248,114.2015
中九龍診所,22.32241,114.179
中區健康院普通科門診診所,22.28451,114.1527
